Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,23.025249,23.025249,23.025249,23.025249,6.187560,0
1999-01-04,23.442986,23.442986,22.776596,22.776596,6.120739,1050289
1999-01-05,23.144602,23.144602,22.776596,22.786543,6.123413,1763572
1999-01-06,23.074980,23.074980,22.925789,22.970545,6.172857,1385310
1999-01-07,23.771208,23.771208,23.114763,23.572285,6.334566,2657203
1999-01-08,23.393255,23.393255,22.975517,23.074980,6.200923,929049
1999-01-11,23.224171,23.224171,22.726866,22.832294,6.135707,763035
1999-01-12,22.671167,22.671167,22.428482,22.577675,6.067282,878735
1999-01-13,22.428482,22.428482,22.219614,22.245474,5.978013,1347803
1999-01-14,22.159937,22.159937,21.931175,22.030638,5.920277,1034306
1999-01-15,22.478212,22.478212,21.781984,22.433455,6.028529,1230628
1999-01-18,22.776596,22.776596,22.487164,22.726866,6.107376,984560
1999-01-19,23.074980,23.074980,22.775600,22.975517,6.174194,869673
1999-01-20,22.925789,22.925789,22.587620,22.726866,6.107376,1667558
1999-01-21,22.776596,22.776596,22.567728,22.627403,6.080647,1217623
1999-01-22,22.577675,22.577675,22.239506,22.577675,6.067282,704867
1999-01-25,22.577675,22.577675,22.378752,22.537889,6.056591,691858
1999-01-26,22.537889,22.537889,22.537889,22.537889,6.056591,0
1999-01-27,22.965572,22.965572,22.726866,22.915840,6.158158,1463623
1999-01-28,23.472824,23.472824,22.876057,23.423094,6.294469,1572709
1999-01-29,23.930346,23.930346,23.423094,23.793089,6.393902,8360477
1999-02-01,24.169052,24.169052,23.860722,24.019859,6.454842,984708
1999-02-02,24.059645,24.059645,23.721478,23.740374,6.379734,1073161
1999-02-03,23.870668,23.870668,23.592176,23.791100,6.393365,992463
1999-02-04,24.009914,24.009914,23.820938,23.930346,6.430786,925355
1999-02-05,24.119322,24.119322,23.870668,23.969135,6.441207,729584
1999-02-08,24.338135,24.338135,23.970129,24.163084,6.493330,1082171
1999-02-09,24.367973,24.367973,23.970129,24.367973,6.548388,806902
1999-02-10,24.676304,24.676304,23.970129,24.676304,6.631248,1943025
1999-02-11,24.964741,24.964741,24.765818,24.835442,6.674010,3436968
1999-02-12,25.462046,25.462046,24.944847,25.064201,6.735484,2222105
1999-02-15,25.332747,25.332747,24.924955,25.243233,6.783596,1744243
1999-02-16,24.728024,24.728024,24.517164,24.573858,6.733722,8553773
1999-02-17,24.716087,24.716087,24.527111,24.576841,6.734537,1643008
1999-02-18,24.547005,24.547005,24.367973,24.377920,6.680033,1141992
1999-02-19,24.377920,24.377920,24.377920,24.377920,6.680033,0
1999-02-22,24.318243,24.318243,24.159105,24.159105,6.620070,818023
1999-02-23,24.517164,24.517164,24.268513,24.457489,6.701833,1120261
1999-02-24,24.855333,24.855333,24.377920,24.707136,6.770243,2202957
1999-02-25,24.696196,24.696196,24.338135,24.358028,6.674578,4760020
1999-02-26,24.218782,24.218782,24.019859,24.069590,6.595542,2200539
1999-03-01,24.318243,24.318243,24.132252,24.318243,6.663678,1787298
1999-03-02,24.517164,24.517164,24.228727,24.417704,6.690931,1922373
1999-03-03,24.666357,24.666357,24.417704,24.666357,6.759067,1213794
1999-03-04,24.666357,24.666357,24.467436,24.487328,6.710010,685578
1999-03-05,24.765818,24.765818,24.427650,24.447542,6.699108,826737
1999-03-08,24.805603,24.805603,24.566896,24.745926,6.780872,1272098
1999-03-09,24.845387,24.845387,24.716087,24.726034,6.775420,1231359
1999-03-10,25.213392,25.213392,24.755873,25.163664,6.895339,1312224
1999-03-11,25.810160,25.810160,25.193501,25.621183,7.020710,2237593
1999-03-12,26.456657,26.456657,25.810160,25.859892,7.086120,1547884
1999-03-15,26.510366,26.510366,25.750483,26.510366,7.264363,2428399
1999-03-16,26.506388,26.506388,25.621183,25.641075,7.026158,1826840
1999-03-17,25.760429,25.760429,25.382477,25.631130,7.023435,1859546
1999-03-18,25.849943,25.849943,25.653011,25.839998,7.080666,903397
1999-03-19,26.009083,26.009083,25.710699,25.789272,7.066768,929653
1999-03-22,26.128435,26.128435,25.571453,26.128435,7.159708,741089
1999-03-23,26.605848,26.605848,26.158274,26.506388,7.263269,1780915
1999-03-24,26.377089,26.377089,25.959352,26.010077,7.127273,1704325
1999-03-25,26.257734,26.257734,26.026985,26.026985,7.131906,1745556
1999-03-26,26.396980,26.396980,26.058813,26.109537,7.154528,3904375
1999-03-29,26.297520,26.297520,26.019028,26.019028,7.129726,662905
1999-03-30,26.257734,26.257734,25.959352,26.158274,7.167883,2439235
1999-03-31,26.158274,26.158274,25.680861,25.749489,7.055866,1604778
1999-04-01,26.038921,26.038921,25.651022,25.999136,7.124277,558668
1999-04-02,25.999136,25.999136,25.999136,25.999136,7.124277,0
1999-04-05,25.999136,25.999136,25.999136,25.999136,7.124277,0
1999-04-06,26.854502,26.854502,26.276632,26.774933,7.336859,1718638
1999-04-07,26.904232,26.904232,26.556118,26.745094,7.328684,2453193
1999-04-08,27.272240,27.272240,26.874393,27.228476,7.461138,5498845
